Codigo;Marca;Modelo;ClasAmbiental;Combustible;FechaInicio;Fecha
1382580;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;02/06/2015;25/11/2018
1384460;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;25/06/2015;25/11/2018
1417306;CITROEN;CITROEN JUMPY;B;DIESEL;01/02/2016;25/11/2018
1508011;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;14/03/2018;25/11/2018
1436750;CITROEN;C4 PICASSO;C;DIESEL;19/09/2016;25/11/2018
1430322;CITROEN;CITROEN GC4 PICASSO;C;DIESEL;14/06/2016;25/11/2018
1443899;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;14/12/2016;25/11/2018
1444256;CITROEN;CITROEN C-ELYSEE;C;DIESEL;16/12/2016;25/11/2018
1420616;CITROEN;CITROEN JUMPY;B;DIESEL;07/03/2016;25/11/2018
1433935;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;29/07/2016;25/11/2018
1421087;CITROEN;CITROEN C-ELYSEE;C;DIESEL;11/03/2016;25/11/2018
1428902;CITROEN;CITROEN C-ELYSEE;C;DIESEL;01/06/2016;25/11/2018
1438647;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;13/10/2016;25/11/2018
1379353;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;28/04/2015;25/11/2018
1476139;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;03/07/2017;25/11/2018
1386886;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;28/07/2015;25/11/2018
1505840;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;07/02/2018;25/11/2018
1393788;CITROEN;C4 PICASSO;C;DIESEL;28/10/2015;25/11/2018
1488965;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;19/01/2018;25/11/2018
1386423;CITROEN;C4 PICASSO;C;DIESEL;20/07/2015;25/11/2018
1438214;CITROEN;CITROEN C-ELYSEE;C;DIESEL;06/10/2016;25/11/2018
1383212;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;09/06/2015;25/11/2018
1400606;CITROEN;CITROEN C-ELYSEE;C;DIESEL;21/01/2016;25/11/2018
1508364;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;19/03/2018;25/11/2018
1439344;CITROEN;CITROEN C-ELYSEE;C;DIESEL;21/10/2016;25/11/2018
1378087;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;14/04/2015;25/11/2018
1468025;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;17/03/2017;25/11/2018
1426551;CITROEN;CITROEN C-ELYSEE;C;DIESEL;10/05/2016;25/11/2018
1484798;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;17/11/2017;25/11/2018
1422949;CITROEN;C4 PICASSO;C;DIESEL;05/04/2016;25/11/2018
1354768;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;12/01/2015;25/11/2018
