Matricula;NumEmt;Marca;Modelo;Version;Combustible;ClasEcol;Plataforma;Plazas;Falta;Fbaja
M7622ZS;6311;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;21/07/2000;03/08/2011
M7623ZS;6312;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;21/07/2000;01/07/2011
M7625ZS;3166;RENAULT;City Line ;0;Di‚sel;Euro II;;80;21/07/2000;28/04/2011
M7380ZP;4532;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;18/07/2000;30/06/2012
M7381ZP;4533;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;18/07/2000;12/05/2012
M7382ZP;4534;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;18/07/2000;07/03/2012
M9233ZN;3157;RENAULT;City Line ;0;Di‚sel;Euro II;;80;18/07/2000;28/07/2011
M9234ZN;3158;RENAULT;City Line ;0;Di‚sel;Euro II;;80;18/07/2000;24/09/2011
M9236ZN;3160;RENAULT;City Line ;0;Di‚sel;Euro II;;80;18/07/2000;29/07/2011
M9237ZN;3161;RENAULT;City Line ;0;Di‚sel;Euro II;;80;18/07/2000;12/11/2011
M9238ZN;3162;RENAULT;City Line ;0;Di‚sel;Euro II;;80;18/07/2000;19/11/2011
M9239ZN;3163;RENAULT;City Line ;0;Di‚sel;Euro II;;80;18/07/2000;19/11/2011
M9240ZN;3164;RENAULT;City Line ;0;Di‚sel;Euro II;;80;18/07/2000;13/07/2011
M9229ZN;3153;RENAULT;City Line ;0;Di‚sel;Euro II;;80;14/07/2000;28/07/2011
M9230ZN;3154;RENAULT;City Line ;0;Di‚sel;Euro II;;80;14/07/2000;28/07/2011
M9231ZN;3155;RENAULT;City Line ;0;Di‚sel;Euro II;;80;14/07/2000;19/07/2011
M9232ZN;3156;RENAULT;City Line ;0;Di‚sel;Euro II;;80;14/07/2000;20/07/2011
M9241ZN;3152;RENAULT;City Line ;0;Di‚sel;Euro II;;80;14/07/2000;24/09/2011
M9250ZN;3149;RENAULT;City Line ;0;Di‚sel;Euro II;;80;14/07/2000;29/07/2011
M9251ZN;3150;RENAULT;City Line ;0;Di‚sel;Euro II;;80;14/07/2000;13/07/2011
M9252ZN;3151;RENAULT;City Line ;0;Di‚sel;Euro II;;80;14/07/2000;16/07/2011
M4446ZM;4525;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;13/07/2000;19/07/2012
M4451ZM;4530;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;13/07/2000;07/03/2012
M7383ZP;4535;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;13/07/2000;31/03/2012
M7372ZP;6302;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;12/07/2000;29/03/2011
M7373ZP;6303;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;12/07/2000;19/02/2011
M7374ZP;6304;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;12/07/2000;29/03/2011
M7375ZP;6305;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;12/07/2000;20/01/2011
M7376ZP;6306;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;12/07/2000;19/11/2010
M7377ZP;6307;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;12/07/2000;27/07/2011
M7378ZP;6308;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;12/07/2000;24/02/2011
M7379ZP;6309;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;12/07/2000;27/10/2010
M9242ZN;3141;RENAULT;City Line ;0;Di‚sel;Euro II;;80;12/07/2000;24/05/2011
M9243ZN;3142;RENAULT;City Line ;0;Di‚sel;Euro II;;80;12/07/2000;28/04/2011
M9245ZN;3144;RENAULT;City Line ;0;Di‚sel;Euro II;;80;12/07/2000;28/07/2011
M9246ZN;3145;RENAULT;City Line ;0;Di‚sel;Euro II;;80;12/07/2000;28/04/2011
M9247ZN;3146;RENAULT;City Line ;0;Di‚sel;Euro II;;80;12/07/2000;09/08/2011
M9248ZN;3147;RENAULT;City Line ;0;Di‚sel;Euro II;;80;12/07/2000;24/09/2011
M9249ZN;3148;RENAULT;City Line ;0;Di‚sel;Euro II;;80;12/07/2000;24/09/2011
M4445ZM;4524;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;06/07/2000;07/03/2012
M4447ZM;4526;MERCEDES;O/530 Citaro ;;Di‚sel;;;88;06/07/2000;28/02/2001
M4448ZM;4527;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;06/07/2000;30/06/2012
M4449ZM;4528;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;06/07/2000;20/10/2012
M4450ZM;4529;MERCEDES;O/530 Citaro ;;Di‚sel;;;88;06/07/2000;15/12/2001
M4452ZM;4531;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;06/07/2000;30/06/2012
M4437ZM;4516;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;28/06/2000;20/10/2012
M4438ZM;4517;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;28/06/2000;30/12/2011
M4439ZM;4518;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;28/06/2000;15/03/2012
M4440ZM;4519;MERCEDES;O/530 Citaro ;;Di‚sel;;;88;28/06/2000;27/10/2001
M4441ZM;4520;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;28/06/2000;15/03/2012
M4442ZM;4521;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;28/06/2000;31/03/2012
M4443ZM;4522;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;28/06/2000;30/06/2012
M4444ZM;4523;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;28/06/2000;20/10/2012
M1185ZL;6290;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;23/06/2000;07/05/2011
M5710ZL;6295;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;23/06/2000;28/01/2011
M5711ZL;6296;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;23/06/2000;24/05/2011
M5712ZL;6297;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;23/06/2000;30/03/2011
M5713ZL;6298;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;23/06/2000;27/07/2011
M5714ZL;6299;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;23/06/2000;27/07/2011
M5715ZL;6300;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;23/06/2000;24/05/2011
M5716ZL;6301;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;23/06/2000;19/01/2011
M6952ZG;4514;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;23/06/2000;07/08/2012
M1182ZL;6287;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;16/06/2000;19/03/2011
M1183ZL;6288;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;16/06/2000;11/05/2011
M1184ZL;6289;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;16/06/2000;11/05/2011
M1186ZL;6291;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;16/06/2000;08/03/2011
M1187ZL;6292;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;16/06/2000;11/03/2011
M1188ZL;6293;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;16/06/2000;19/03/2011
M1189ZL;6294;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;16/06/2000;22/07/2011
M6949ZG;4511;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;13/06/2000;07/08/2012
M6953ZG;4515;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;13/06/2000;31/03/2012
M6946ZG;4508;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;06/06/2000;30/12/2011
M6947ZG;4509;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;06/06/2000;15/03/2012
M6948ZG;4510;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;06/06/2000;15/03/2012
M6950ZG;4512;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;06/06/2000;30/12/2011
M6951ZG;4513;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;06/06/2000;15/03/2012
M6706ZG;9022;MERCEDES;O/520 Cito ;0;Di‚sel;Euro II;;30;30/05/2000;20/11/2009
M6707ZG;9023;MERCEDES;O/520 Cito ;0;Di‚sel;Euro II;;30;30/05/2000;03/03/2009
M6708ZG;9024;MERCEDES;O/520 Cito ;0;Di‚sel;Euro II;;30;30/05/2000;20/11/2009
M6709ZG;9025;MERCEDES;O/520 Cito ;0;Di‚sel;Euro II;;30;30/05/2000;20/11/2009
M6710ZG;9026;MERCEDES;O/520 Cito ;0;Di‚sel;Euro II;;30;30/05/2000;03/03/2009
M6711ZG;9027;MERCEDES;O/520 Cito ;0;Di‚sel;Euro II;;30;30/05/2000;20/11/2009
M6712ZG;9028;MERCEDES;O/520 Cito ;0;Di‚sel;Euro II;;30;30/05/2000;03/03/2009
M6713ZG;9029;MERCEDES;O/520 Cito ;0;Di‚sel;Euro II;;30;30/05/2000;05/03/2009
M6714ZG;9030;MERCEDES;O/520 Cito ;0;Di‚sel;Euro II;;30;30/05/2000;20/11/2009
M6954ZG;4501;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;27/05/2000;03/08/2012
M6955ZG;4502;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;27/05/2000;31/03/2012
M6956ZG;4503;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;27/05/2000;30/12/2011
M6957ZG;4504;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;27/05/2000;07/08/2012
M6958ZG;4505;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;27/05/2000;05/07/2012
M6959ZG;4506;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;27/05/2000;30/12/2011
M6960ZG;4507;MERCEDES;O/530 Citaro ;0;Di‚sel;Euro II;;88;27/05/2000;07/03/2012
M0234ZH;6284;IVECO;Cityclass ;3;Di‚sel;Euro II;;80;26/05/2000;08/03/2011
M0235ZH;6285;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;26/05/2000;07/05/2011
M0236ZH;6286;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;26/05/2000;11/05/2011
M6705ZG;9021;MERCEDES;O/520 Cito ;0;Di‚sel;Euro II;;30;24/05/2000;03/03/2009
M4681ZG;6280;IVECO;Cityclass ;3;Di‚sel;Euro II;;80;23/05/2000;30/03/2011
M4682ZG;6281;IVECO;Cityclass ;3;Di‚sel;Euro II;;80;23/05/2000;24/02/2011
M4683ZG;6282;IVECO;Cityclass ;3;Di‚sel;Euro II;;80;23/05/2000;01/04/2011
M4684ZG;6283;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;23/05/2000;07/05/2011
M2021ZG;6274;IVECO;Cityclass ;2;Di‚sel;Euro II;;80;17/05/2000;22/07/2011
M2022ZG;6275;IVECO;Cityclass ;3;Di‚sel;Euro II;;80;17/05/2000;23/03/2011
M2023ZG;6277;IVECO;Cityclass ;3;Di‚sel;Euro II;;80;17/05/2000;09/02/2011
M2024ZG;6278;IVECO;Cityclass ;3;Di‚sel;Euro II;;80;17/05/2000;24/05/2011
M2025ZG;6276;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;17/05/2000;22/07/2011
M2026ZG;6279;IVECO;Cityclass ;4;Di‚sel;Euro II;;80;17/05/2000;22/10/2010
M2409ZD;6273;IVECO;Cityclass ;3;Di‚sel;Euro II;;80;27/04/2000;23/06/2011
M6682ZB;6272;IVECO;Cityclass ;2;Di‚sel;Euro II;;80;12/04/2000;28/04/2011
M5806YP;6261;IVECO;Cityclass ;2;Di‚sel;Euro II;;80;22/01/2000;09/02/2011
M5807YP;6262;IVECO;Cityclass ;2;Di‚sel;Euro II;;80;22/01/2000;15/04/2011
M5808YP;6263;IVECO;Cityclass ;2;Di‚sel;Euro II;;80;22/01/2000;01/04/2011
M5809YP;6264;IVECO;Cityclass ;2;Di‚sel;Euro II;;80;22/01/2000;27/07/2011
M5810YP;6265;IVECO;Cityclass ;2;Di‚sel;Euro II;;80;22/01/2000;02/02/2011
M5811YP;6266;IVECO;Cityclass ;2;Di‚sel;Euro II;;80;22/01/2000;22/07/2011
M5812YP;6267;IVECO;Cityclass ;2;Di‚sel;Euro II;;80;22/01/2000;28/04/2011
M5813YP;6268;IVECO;Cityclass ;2;Di‚sel;Euro II;;80;22/01/2000;27/07/2011
M5814YP;6269;IVECO;Cityclass ;2;Di‚sel;Euro II;;80;22/01/2000;27/07/2011
M5815YP;6270;IVECO;Cityclass ;2;Di‚sel;Euro II;;80;22/01/2000;21/07/2011
M5816YP;6271;IVECO;Cityclass ;2;Di‚sel;Euro II;;80;22/01/2000;27/07/2011
M4058WW;3835;MAN;14220 HOCL ;;Di‚sel;;;70;07/01/1999;14/01/2009
M4059WW;3834;MAN;14220 HOCL ;;Di‚sel;;;70;07/01/1999;12/01/2009
M4060WW;3833;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;07/01/1999;08/04/2009
M4062WW;3831;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;07/01/1999;10/03/2009
M4064WW;3829;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;07/01/1999;05/03/2009
M4061WW;3832;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;05/01/1999;12/03/2009
M4063WW;3830;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;05/01/1999;13/04/2009
M4065WW;3826;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;30/12/1998;31/03/2009
M4066WW;3827;MAN;14220 HOCL ;;Di‚sel;;;70;30/12/1998;21/01/2009
M4067WW;3828;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;30/12/1998;12/03/2009
M6168WU;3819;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;23/12/1998;28/04/2009
M6170WU;3821;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;23/12/1998;31/03/2009
M6172WU;3823;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;23/12/1998;28/05/2009
M0715WV;8033;IVECO;Cityclass GNC ;0;GNC;VEM;;80;18/12/1998;03/11/2010
M0716WV;8034;IVECO;Cityclass GNC ;0;GNC;VEM;;80;18/12/1998;27/10/2010
M0717WV;8035;IVECO;Cityclass GNC ;0;GNC;VEM;;80;18/12/1998;03/11/2010
M0718WV;8036;IVECO;Cityclass GNC ;0;GNC;VEM;;80;18/12/1998;12/05/2012
M0719WV;8037;IVECO;Cityclass GNC ;0;GNC;VEM;;80;18/12/1998;23/11/2011
M0720WV;8038;IVECO;Cityclass GNC ;0;GNC;VEM;;80;18/12/1998;12/05/2012
M0721WV;8039;IVECO;Cityclass GNC ;0;GNC;VEM;;80;18/12/1998;26/03/2011
M0722WV;8040;IVECO;Cityclass GNC ;0;GNC;VEM;;80;18/12/1998;12/05/2012
M0723WV;8041;IVECO;Cityclass GNC ;0;GNC;VEM;;80;18/12/1998;12/05/2012
M0724WV;8042;IVECO;Cityclass GNC ;0;GNC;VEM;;80;18/12/1998;12/05/2012
M0725WV;8043;IVECO;Cityclass GNC ;0;GNC;VEM;;80;18/12/1998;01/10/2010
M0726WV;8044;IVECO;Cityclass GNC ;0;GNC;VEM;;80;18/12/1998;22/10/2010
M0727WV;8045;IVECO;Cityclass GNC ;0;GNC;VEM;;80;18/12/1998;12/05/2012
M0728WV;8046;IVECO;Cityclass GNC ;0;GNC;VEM;;80;18/12/1998;05/12/2010
M0729WV;8047;IVECO;Cityclass GNC ;0;GNC;VEM;;80;18/12/1998;12/05/2012
M0730WV;8048;IVECO;Cityclass GNC ;0;GNC;VEM;;80;18/12/1998;12/05/2012
M0731WV;8049;IVECO;Cityclass GNC ;0;GNC;VEM;;80;18/12/1998;12/05/2012
M0732WV;8050;IVECO;Cityclass GNC ;0;GNC;VEM;;80;18/12/1998;19/01/2011
M0707WV;6253;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;16/12/1998;15/04/2011
M0710WV;6256;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;16/12/1998;09/04/2011
M0713WV;6259;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;16/12/1998;23/03/2011
M0714WV;6260;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;16/12/1998;28/01/2011
M0708WV;6254;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;15/12/1998;01/07/2011
M0709WV;6255;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;15/12/1998;01/04/2011
M0711WV;6257;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;15/12/1998;15/04/2011
M0712WV;6258;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;15/12/1998;05/04/2011
M6169WU;3820;MAN;14220 HOCL ;;Di‚sel;;;70;10/12/1998;17/02/2009
M6171WU;3822;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;10/12/1998;23/03/2009
M6173WU;3824;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;10/12/1998;22/05/2009
M6174WU;3825;MAN;14220 HOCL ;;Di‚sel;;;70;10/12/1998;14/01/2009
M6161WU;3812;MAN;14220 HOCL ;;Di‚sel;;;70;09/12/1998;19/12/2008
M6162WU;3813;MAN;14220 HOCL ;;Di‚sel;;;70;09/12/1998;20/02/2007
M6163WU;3814;MAN;14220 HOCL ;;Di‚sel;;;70;09/12/1998;10/11/2008
M6164WU;3815;MAN;14220 HOCL ;;Di‚sel;;;70;09/12/1998;10/11/2008
M6165WU;3816;MAN;14220 HOCL ;;Di‚sel;;;70;09/12/1998;19/12/2008
M6166WU;3817;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;09/12/1998;13/03/2009
M6167WU;3818;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;09/12/1998;26/03/2009
M3754WU;3805;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;03/12/1998;01/04/2009
M3755WU;3836;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;03/12/1998;13/04/2009
M3756WU;3806;MAN;14220 HOCL ;;Di‚sel;;;70;03/12/1998;21/01/2009
M3757WU;3807;MAN;14220 HOCL ;;Di‚sel;;;70;03/12/1998;21/01/2009
M3758WU;3808;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;03/12/1998;24/04/2009
M3759WU;3809;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;03/12/1998;16/04/2009
M3760WU;3810;MAN;14220 HOCL ;;Di‚sel;;;70;03/12/1998;19/12/2008
M3761WU;3811;MAN;14220 HOCL ;;Di‚sel;;;70;03/12/1998;19/12/2008
M4879WS;3795;MAN;14220 HOCL ;;Di‚sel;;;70;30/11/1998;19/02/2009
M4542WT;6244;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;27/11/1998;23/03/2011
M4543WT;6245;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;27/11/1998;24/05/2011
M4544WT;6246;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;27/11/1998;02/06/2011
M4545WT;6247;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;27/11/1998;21/06/2011
M4546WT;6248;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;27/11/1998;26/06/2010
M4547WT;6249;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;27/11/1998;08/03/2011
M4548WT;6250;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;27/11/1998;01/04/2011
M4549WT;6251;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;27/11/1998;01/07/2011
M4550WT;6252;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;27/11/1998;15/02/2011
M4530WT;6232;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;26/11/1998;09/04/2011
M4531WT;6233;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;26/11/1998;24/06/2010
M4532WT;6234;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;26/11/1998;21/06/2011
M4533WT;6235;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;26/11/1998;28/01/2011
M4534WT;6236;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;26/11/1998;28/04/2011
M4535WT;6237;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;26/11/1998;21/06/2011
M4536WT;6238;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;26/11/1998;19/02/2011
M4537WT;6239;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;26/11/1998;20/01/2011
M4538WT;6240;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;26/11/1998;19/03/2011
M4539WT;6241;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;26/11/1998;09/02/2011
M4540WT;6242;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;26/11/1998;23/03/2011
M4541WT;6243;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;26/11/1998;23/09/2010
M4870WS;3804;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;17/11/1998;26/03/2009
M4871WS;3803;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;17/11/1998;13/03/2009
M4872WS;3802;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;17/11/1998;23/03/2009
M4873WS;3801;MAN;14220 HOCL ;;Di‚sel;;;70;17/11/1998;10/11/2008
M4874WS;3800;MAN;14220 HOCL ;;Di‚sel;;;70;17/11/1998;23/02/2009
M4875WS;3799;MAN;14220 HOCL ;;Di‚sel;;;70;16/11/1998;03/11/2008
M4876WS;3798;MAN;14220 HOCL ;;Di‚sel;;;70;16/11/1998;23/02/2009
M4877WS;3797;MAN;14220 HOCL ;;Di‚sel;;;70;16/11/1998;22/12/2008
M4878WS;3796;MAN;14220 HOCL ;;Di‚sel;;;70;16/11/1998;03/11/2008
M4880WS;3794;MAN;14220 HOCL ;;Di‚sel;;;70;16/11/1998;31/12/2008
M4881WS;3793;MAN;14220 HOCL ;;Di‚sel;;;70;16/11/1998;19/02/2009
M1694WS;3784;MAN;14220 HOCL ;;Di‚sel;;;70;06/11/1998;30/01/2009
M1695WS;3785;MAN;14220 HOCL ;;Di‚sel;;;70;06/11/1998;30/01/2009
M1696WS;3786;MAN;14220 HOCL ;;Di‚sel;;;70;06/11/1998;10/11/2008
M1697WS;3787;MAN;14220 HOCL ;;Di‚sel;;;70;06/11/1998;03/11/2008
M1698WS;3788;MAN;14220 HOCL ;;Di‚sel;;;70;06/11/1998;30/01/2009
M1699WS;3789;MAN;14220 HOCL ;;Di‚sel;;;70;06/11/1998;17/02/2009
M1700WS;3790;MAN;14220 HOCL ;;Di‚sel;;;70;06/11/1998;03/11/2008
M1701WS;3791;MAN;14220 HOCL ;;Di‚sel;;;70;06/11/1998;17/12/2008
M1702WS;3792;MAN;14220 HOCL ;;Di‚sel;;;70;06/11/1998;17/02/2009
M7035WP;3779;MAN;14220 HOCL ;;Di‚sel;;;70;04/11/1998;03/11/2008
M7036WP;3780;MAN;14220 HOCL ;;Di‚sel;;;70;04/11/1998;17/11/2008
M7037WP;3781;MAN;14220 HOCL ;;Di‚sel;;;70;04/11/1998;03/11/2008
M7038WP;3782;MAN;14220 HOCL ;;Di‚sel;;;70;04/11/1998;26/01/2009
M7039WP;3783;MAN;14220 HOCL ;;Di‚sel;;;70;04/11/1998;30/01/2009
M0237WP;3774;MAN;14220 HOCL ;;Di‚sel;;;70;27/10/1998;12/01/2009
M0238WP;3775;MAN;14220 HOCL ;;Di‚sel;;;70;27/10/1998;15/01/2009
M0239WP;3776;MAN;14220 HOCL ;;Di‚sel;;;70;27/10/1998;15/01/2009
M0240WP;3777;MAN;14220 HOCL ;;Di‚sel;;;70;27/10/1998;26/01/2009
M0241WP;3778;MAN;14220 HOCL ;;Di‚sel;;;70;27/10/1998;26/01/2009
M7180WM;3762;MAN;14220 HOCL ;;Di‚sel;;;70;27/10/1998;11/02/2009
M7181WM;3763;MAN;14220 HOCL ;1;Di‚sel;Euro II;;70;27/10/1998;26/05/2009
M7182WM;3764;MAN;14220 HOCL ;;Di‚sel;;;70;27/10/1998;26/02/2009
M5586WM;3765;MAN;14220 HOCL ;;Di‚sel;;;70;19/10/1998;08/08/2006
M5587WN;3766;MAN;14220 HOCL ;;Di‚sel;;;70;19/10/1998;17/02/2009
M5588WN;3767;MAN;14220 HOCL ;0;Di‚sel;Euro II;;70;19/10/1998;20/04/2009
M5589WN;3768;MAN;14220 HOCL ;1;Di‚sel;Euro II;;70;19/10/1998;28/04/2009
M5590WN;3769;MAN;14220 HOCL ;1;Di‚sel;Euro II;;70;19/10/1998;28/05/2009
M5591WN;3770;MAN;14220 HOCL ;;Di‚sel;;;70;19/10/1998;22/12/2008
M5592WN;3771;MAN;14220 HOCL ;;Di‚sel;;;70;19/10/1998;20/10/2008
M5593WN;3772;MAN;14220 HOCL ;;Di‚sel;;;70;19/10/1998;22/12/2008
M5594WN;3773;MAN;14220 HOCL ;;Di‚sel;;;70;19/10/1998;31/12/2008
M7613WM;6224;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;16/10/1998;06/04/2011
M7615WM;6226;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;16/10/1998;19/02/2011
M7183WM;6216;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;02/10/1998;17/03/2011
M7184WM;6217;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;02/10/1998;19/03/2011
M7185WM;6218;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;02/10/1998;12/03/2011
M7186WM;6219;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;02/10/1998;01/04/2011
M7187WM;6220;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;02/10/1998;23/03/2011
M7188WM;6221;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;02/10/1998;28/01/2011
M7610WM;6231;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;02/10/1998;14/12/2010
M7611WM;6222;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;02/10/1998;16/04/2011
M7612WM;6223;IVECO;Cityclass ;0;Di‚sel;Euro II;;80;02/10/1998;06/04/2011
M7614WM;6225;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;02/10/1998;09/04/2011
M7616WM;6227;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;02/10/1998;05/04/2011
M7617WM;6228;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;02/10/1998;19/11/2010
M7618WM;6229;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;02/10/1998;06/04/2011
M7619WM;6230;IVECO;Cityclass ;1;Di‚sel;Euro II;;80;02/10/1998;16/04/2011
M2293WL;3758;MAN;14220 HOCL ;;Di‚sel;;;70;10/09/1998;12/02/2009
M2294WL;3759;MAN;14220 HOCL ;;Di‚sel;;;70;10/09/1998;23/09/2008
M2295WL;3760;MAN;14220 HOCL ;;Di‚sel;;;70;10/09/1998;12/02/2009
M2296WL;3761;MAN;14220 HOCL ;1;Di‚sel;Euro II;;70;10/09/1998;25/05/2009
M6313WK;3757;MAN;14220 HOCL ;;Di‚sel;;;70;03/09/1998;26/02/2009
M9315WJ;3741;MAN;14220 HOCL ;;Di‚sel;;;70;03/09/1998;26/02/2009
M6308WK;3752;MAN;14220 HOCL ;1;Di‚sel;Euro II;;70;27/08/1998;20/04/2009
M6311WK;3755;MAN;14220 HOCL ;;Di‚sel;;;70;27/08/1998;11/02/2009
M6312WK;3756;MAN;14220 HOCL ;1;Di‚sel;Euro II;;70;27/08/1998;25/05/2009
