Matricula;NumEmt;Marca;Modelo;Version;Combustible;ClasEcol;Plataforma;Plazas;Falta;Fbaja
4511JVN;539;MERCEDES;Citaro G GNC Articulado ;0;GNC;Euro VI;Doble plat. doble;122;23/01/2017;31/12/9999
4526JVN;541;MERCEDES;Citaro G GNC Articulado ;0;GNC;Euro VI;Doble plat. doble;122;23/01/2017;31/12/9999
4538JVN;542;MERCEDES;Citaro G GNC Articulado ;0;GNC;Euro VI;Doble plat. doble;122;23/01/2017;31/12/9999
4557JVN;545;MERCEDES;Citaro G GNC Articulado ;0;GNC;Euro VI;Doble plat. doble;122;23/01/2017;31/12/9999
4572JVN;566;MERCEDES;Citaro G GNC Articulado ;0;GNC;Euro VI;Doble plat. doble;122;23/01/2017;31/12/9999
4600JVN;568;MERCEDES;Citaro G GNC Articulado ;0;GNC;Euro VI;Doble plat. doble;122;23/01/2017;31/12/9999
4632JVN;549;MERCEDES;Citaro G GNC Articulado ;0;GNC;Euro VI;Doble plat. doble;122;23/01/2017;31/12/9999
4636JVN;548;MERCEDES;Citaro G GNC Articulado ;0;GNC;Euro VI;Doble plat. doble;122;23/01/2017;31/12/9999
4647JVN;547;MERCEDES;Citaro G GNC Articulado ;0;GNC;Euro VI;Doble plat. doble;122;23/01/2017;31/12/9999
4663JVN;550;MERCEDES;Citaro G GNC Articulado ;0;GNC;Euro VI;Doble plat. doble;122;23/01/2017;31/12/9999
4687JVN;570;MERCEDES;Citaro G GNC Articulado ;0;GNC;Euro VI;Doble plat. doble;122;23/01/2017;31/12/9999
4732JVN;559;MERCEDES;Citaro G GNC Articulado ;0;GNC;Euro VI;Doble plat. doble;122;23/01/2017;31/12/9999
4763JVN;557;MERCEDES;Citaro G GNC Articulado ;0;GNC;Euro VI;Doble plat. doble;122;23/01/2017;31/12/9999
4770JVN;556;MERCEDES;Citaro G GNC Articulado ;0;GNC;Euro VI;Doble plat. doble;122;23/01/2017;31/12/9999
4777JVN;555;MERCEDES;Citaro G GNC Articulado ;0;GNC;Euro VI;Doble plat. doble;122;23/01/2017;31/12/9999
5867JVM;538;MERCEDES;Citaro G GNC Articulado ;0;GNC;Euro VI;Doble plat. doble;122;23/01/2017;31/12/9999
7123JVC;8853;MAN;Lion's City GNC;0;GNC;Euro VI;Plat. doble;78;17/01/2017;31/12/9999
4255JTX;4337;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;12/01/2017;31/12/9999
3100JVJ;4349;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;11/01/2017;31/12/9999
4316JTX;4339;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;11/01/2017;31/12/9999
4335JTX;4341;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;11/01/2017;31/12/9999
4374JTX;4342;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;11/01/2017;31/12/9999
2881JVJ;4345;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;06/01/2017;31/12/9999
3127JVJ;4350;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;06/01/2017;31/12/9999
7013JVC;8856;MAN;Lion's City GNC;0;GNC;Euro VI;Plat. doble;78;06/01/2017;31/12/9999
2827JVJ;4344;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;04/01/2017;31/12/9999
2917JVJ;4346;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;04/01/2017;31/12/9999
2962JVJ;4347;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;04/01/2017;31/12/9999
3053JVJ;4348;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;04/01/2017;31/12/9999
4401JTX;4343;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;04/01/2017;31/12/9999
7007JVC;8851;MAN;Lion's City GNC;0;GNC;Euro VI;Plat. doble;78;04/01/2017;31/12/9999
7033JVC;8860;MAN;Lion's City GNC;0;GNC;Euro VI;Plat. doble;78;04/01/2017;31/12/9999
4235JTX;4336;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;30/12/2016;31/12/9999
4288JTX;4340;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;30/12/2016;31/12/9999
